CL,CD,aoa
0.3124585815209774,0.01013284189379896,0.0
0.3664888429047946,0.013799342597832694,1.0
0.4200520478112474,0.018015461730505607,2.0
0.47310338266489094,0.022760554759660878,3.0
0.5255992421037641,0.028012351100525856,4.0
0.5774973174879728,0.03374701797992846,5.0
0.6287566819228237,0.03993922863516707,6.0
0.6793378715728979,0.04656223465973037,7.0
0.7292029630535901,0.053587942296681325,8.0
0.7783156466973535,0.06098699246968158,9.0
0.8266412955031897,0.06872884433137676,10.0
0.8741470295897119,0.07678186209920453,11.0
0.9208017759843737,0.0851134049396595,12.0
0.9665763235942665,0.09368991965368823,13.0
1.0114433732169645,0.10247703590818091,14.0
1.0553775824635416,0.1114396637515517,15.0
1.0983556054797057,0.12054209314510922,16.0
1.1403561273652478,0.12974809523639064,17.0
1.1813598932064788,0.13902102509584283,18.0
1.2213497316510165,0.1483239256342061,19.0
1.2603105729692141,0.1576196324147177,20.0
1.29822946156155,0.16687087907177348,21.0
1.3350955628864798,0.17604040304602792,22.0
1.3709001647984522,0.18509105134501938,23.0
1.4056366733010777,0.1939858860383372,24.0
1.4393006027356505,0.20268828919706275,25.0
