x_le,y_le,z_le,chords,twists,N,A,CA
0.863076743017542,4.1565,7.42381980905155,0.701538039109304,13.3992080204399,4,4,15
0.422691026618128,4.07030980165037,7.96042659834562,1.20808592208322,3.97447583589885,6,4,7
-0.0176946897812863,3.98411960330075,8.49703338763969,1.72814392365836,0.165552307390144,7,4,5
-0.128172288183087,3.56560248722117,9.15688980757213,1.98883392182129,0.497569888271969,8,4,4
-0.238649886584888,3.14708537114159,9.81674622750456,2.24957539872564,0.752629332993715,8,4,4
-0.311971949870279,2.55739324195706,10.2120513874423,2.37704048669511,0.944425847152577,9,4,3
-0.385294013155669,1.96770111277254,10.6073565473802,2.50453343900964,1.11669476562862,9,4,3
-0.421856646137605,1.31732763397235,10.7781651658401,2.56547254385086,1.20544947687696,9,4,3
-0.458419279119541,0.666954155172163,10.9489737843,2.6264273627629,1.29008393301248,9,4,3
-0.458419279119541,0,10.9489737843,2.62642496985234,1.29008393301248,10,4,3
-0.458419279119541,-0.666954155172163,10.9489737843,2.6264273627629,1.29008393301248,9,4,3
-0.421856646137605,-1.31732763397235,10.7781651658401,2.56547254385086,1.20544947687696,9,4,3
-0.385294013155669,-1.96770111277254,10.6073565473802,2.50453343900964,1.11669476562862,9,4,3
-0.311971949870279,-2.55739324195706,10.2120513874423,2.37704048669511,0.944425847152577,9,4,3
-0.238649886584888,-3.14708537114159,9.81674622750456,2.24957539872564,0.752629332993715,8,4,4
-0.128172288183087,-3.56560248722117,9.15688980757213,1.98883392182129,0.497569888271969,8,4,4
-0.0176946897812863,-3.98411960330075,8.49703338763969,1.72814392365836,0.165552307390144,7,4,5
0.422691026618128,-4.07030980165037,7.96042659834562,1.20808592208322,3.97447583589885,6,4,7
0.863076743017542,-4.1565,7.42381980905155,0.701538039109304,13.3992080204399,4,4,15
